,word,num,dsc_num,skip,pca_vec,cluster
65,持つ,26,0,False,[  7.60617425 -13.97210301],2
66,解く,1,1,False,[ 7.74865119 -2.157177  ],2
67,勝つ,21,0,False,[4.32704638 3.41894015],1
68,あく,2,0,False,[-7.6043117  -1.01687541],0
69,くる,5,0,False,[ 2.7089256 11.0807162],1
70,弾く,2,0,False,[ 4.98231249 -0.23220414],2
71,泣く,3,0,False,[-3.4592745   3.34513114],0
72,漏る,8,0,False,[-7.28533592 -1.5929645 ],0
73,押し込む,1,0,False,[-1.79692301 -0.71453245],0
74,る,1,0,False,[-1.59395446 -0.36666028],0
75,戦う,2,0,False,[6.35098187 6.2319882 ],1
76,並ぶ,27,0,False,[-1.87674423 -1.0886185 ],0
77,見る,5,0,False,[ 9.77075261 -1.43451252],2
78,張り付く,6,0,False,[-4.65298271 -0.74427733],0
